Key,Text
DEATH_NPC_0,"Crushed underfoot. They didn't even notice."
DEATH_NPC_1,"One careless step. That's all it took."
DEATH_NPC_2,"You were in the wrong place at the wrong foot."
DEATH_CAT_0,"The cat was just playing. You were not."
DEATH_CAT_1,"To it, you were a toy. Game over."
DEATH_CAT_2,"The cat was bored. You paid the price."
DEATH_CAR_0,"The driver didn't even brake."
DEATH_MISSION_0,"The queen will not be pleased."
MISSION_EGG,"Eggs. Store. Now. I'm not asking twice."
MISSION_ICECREAM,"Ice cream. You know which one. Don't get the wrong kind."
MISSION_PIZZA,"Daddy!! Can we have pizza tonight?? PLEASE PLEASE PLEASE"
