Key,Text,Sender
DEATH_NPC_0,"Crushed underfoot. They didn't even notice."
DEATH_NPC_1,"One careless step. That's all it took."
DEATH_NPC_2,"You were in the wrong place at the wrong foot."
DEATH_CAT_0,"The cat was just playing. You were not."
DEATH_CAT_1,"To it, you were a toy. Game over."
DEATH_CAT_2,"The cat was bored. You paid the price."
DEATH_CAR_0,"The driver didn't even brake."
DEATH_MISSION_0,"The queen will not be pleased."
DEATH_ANGER_0,"The bag is packed. The door is locked. Game over."
MISSION_AVOCADO,"Avocado. Fruit stall. Don't get a bruised one.",Honey♥
MISSION_EGG,"Eggs. From the mart. Don't get cracked ones.",Honey♥
MISSION_MUSHROOM,"...Oh, and mushrooms too. Same mart. Go.",Honey♥
MISSION_PIZZA,"Daddy!! Can we have pizza tonight?? PLEASE PLEASE PLEASE!!",Kids
MISSION_ICECREAM,"Ice cream. You know which one. Don't get the wrong kind.",Honey♥
HINT_ICECREAM,"Oh! The ice cream Mom likes — it's from the guy in the PINK HAT at the shop!!",Kids
MONOLOGUE_HOME,"Alright... time to head home.",Me
MONOLOGUE_WAIT,"...Oh wait.",Me
MONOLOGUE_FLOWER,"...She always loved those flowers. Maybe it'll calm her down.",Me
ANGER_0,"Where did you sleep last night?? ...You know what, fine.",Honey♥ 
ANGER_1,"Since you're already out there, you better pick some things up on the way home",Honey♥
ANGER_2,"I'm sending you the list.",Honey♥
ANGER_10,"Still not here?? It's packed out there — watch those feet and hurry up.",Honey♥
ANGER_25,"You said 5 minutes. That was 45 minutes ago.",Honey♥
ANGER_50,"Hello?? Did you get stepped on or something??",Honey♥
ANGER_75,"I'm not mad. I'm DONE. Get. Home. Now.",Honey♥
ANGER_90,"...I'm packing a bag.",Honey♥
